Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Column1,Opposition,Ground,Start DateAscending,_1
53,188,114,5,0,46.49,3,caught,2,,v New Zealand,Adelaide,11/27/2015,Test # 2190
14,35,24,2,0,58.33,3,lbw,4,,v New Zealand,Adelaide,11/27/2015,Test # 2190
10,41,32,1,0,31.25,3,caught,1,,v West Indies,Hobart,12/10/2015,Test # 2193
134*,244,177,8,0,75.70,4,not out,1,,v West Indies,Melbourne,12/26/2015,Test # 2195
70*,93,70,5,0,100.00,4,not out,3,,v West Indies,Melbourne,12/26/2015,Test # 2195
DNB,-,-,-,-,-,-,-,2,,v West Indies,Sydney,1/3/2016,Test # 2198
71,133,112,10,1,63.39,4,caught,2,,v New Zealand,Wellington,2/12/2016,Test # 2201
138,350,241,17,0,57.26,4,caught,2,,v New Zealand,Christchurch,2/20/2016,Test # 2202
53*,78,46,4,1,115.21,4,not out,4,,v New Zealand,Christchurch,2/20/2016,Test # 2202
30,65,53,3,0,56.60,4,stumped,2,,v Sri Lanka,Pallekele,7/26/2016,Test # 2209
55,151,125,1,0,44.00,4,lbw,4,,v Sri Lanka,Pallekele,7/26/2016,Test # 2209
5,9,10,1,0,50.00,4,bowled,2,,v Sri Lanka,Galle,8/4/2016,Test # 2213
30,57,58,3,0,51.72,5,caught,4,,v Sri Lanka,Galle,8/4/2016,Test # 2213
119,305,218,10,1,54.58,3,stumped,2,,v Sri Lanka,Colombo (SSC),8/13/2016,Test # 2217
8,17,14,1,0,57.14,3,bowled,4,,v Sri Lanka,Colombo (SSC),8/13/2016,Test # 2217
0,4,4,0,0,0.00,4,lbw,2,,v South Africa,Perth,11/3/2016,Test # 2230
34,118,91,5,0,37.36,4,caught,4,,v South Africa,Perth,11/3/2016,Test # 2230
48*,137,80,5,0,60.00,4,not out,1,,v South Africa,Hobart,11/12/2016,Test # 2233
31,151,82,5,0,37.80,4,caught,3,,v South Africa,Hobart,11/12/2016,Test # 2233
59,159,113,8,1,52.21,4,run out,2,,v South Africa,Adelaide,11/24/2016,Test # 2236
40,84,52,5,0,76.92,4,caught,4,,v South Africa,Adelaide,11/24/2016,Test # 2236
130,312,222,19,0,58.55,4,caught,1,,v Pakistan,Brisbane,12/15/2016,Test # 2240
63,106,70,11,0,90.00,4,caught,3,,v Pakistan,Brisbane,12/15/2016,Test # 2240
165*,412,246,13,1,67.07,4,not out,2,,v Pakistan,Melbourne,12/26/2016,Test # 2242
24,43,40,3,0,60.00,4,caught,1,,v Pakistan,Sydney,1/3/2017,Test # 2245
59,72,43,8,1,137.20,3,caught,3,,v Pakistan,Sydney,1/3/2017,Test # 2245
27,128,95,2,0,28.42,3,caught,1,,v India,Pune,2/23/2017,Test # 2250
109,256,202,11,0,53.96,3,lbw,3,,v India,Pune,2/23/2017,Test # 2250
8,81,52,0,0,15.38,3,caught,2,,v India,Bengaluru,3/4/2017,Test # 2251
28,69,48,3,0,58.33,3,lbw,4,,v India,Bengaluru,3/4/2017,Test # 2251
178*,512,361,17,0,49.30,3,not out,1,,v India,Ranchi,3/16/2017,Test # 2256
21,98,68,2,0,30.88,4,bowled,3,,v India,Ranchi,3/16/2017,Test # 2256
111,224,173,14,0,64.16,3,caught,1,,v India,Dharamsala,3/25/2017,Test # 2258
17,25,15,3,0,113.33,3,bowled,3,,v India,Dharamsala,3/25/2017,Test # 2258
8,16,16,1,0,50.00,5,bowled,2,,v Bangladesh,Dhaka,8/27/2017,Test # 2272
37,149,99,3,0,37.37,4,caught,4,,v Bangladesh,Dhaka,8/27/2017,Test # 2272
58,107,94,8,0,61.70,3,bowled,2,,v Bangladesh,Chattogram,9/4/2017,Test # 2273
16,24,9,3,0,177.77,3,caught,4,,v Bangladesh,Chattogram,9/4/2017,Test # 2273
141*,512,326,14,0,43.25,4,not out,2,,v England,Brisbane,11/23/2017,Test # 2282
DNB,-,-,-,-,-,-,-,4,,v England,Brisbane,11/23/2017,Test # 2282
40,119,90,3,0,44.44,4,bowled,1,,v England,Adelaide,12/2/2017,Test # 2285
6,25,12,1,0,50.00,4,lbw,3,,v England,Adelaide,12/2/2017,Test # 2285
239,578,399,30,1,59.89,4,lbw,2,,v England,Perth,12/14/2017,Test # 2288
76,211,156,8,0,48.71,4,bowled,1,,v England,Melbourne,12/26/2017,Test # 2289
102*,438,275,6,0,37.09,4,not out,3,,v England,Melbourne,12/26/2017,Test # 2289
83,254,158,5,0,52.53,4,caught,2,,v England,Sydney,1/4/2018,Test # 2291
56,155,114,11,0,49.12,4,caught,1,,v South Africa,Durban,3/1/2018,Test # 2297
38,97,81,3,0,46.91,4,lbw,3,,v South Africa,Durban,3/1/2018,Test # 2297
25,93,58,3,0,43.10,4,lbw,1,,v South Africa,Port Elizabeth,3/9/2018,Test # 2298
11,20,18,1,1,61.11,4,caught,3,,v South Africa,Port Elizabeth,3/9/2018,Test # 2298
